title;type;year;filename;book;word_count;char_count;source
die_verwandlung_02;fiction;1912;die_verwandlung_02_fiction.txt;die_verwandlung;1979;10326;https://www.projekt-gutenberg.org/kafka/verwandl/
tagebuch_008;diary;1911;tagebuch_008_diaries.txt;tagebuecher;1971;10779;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
die_verwandlung_04;fiction;1912;die_verwandlung_04_fiction.txt;die_verwandlung;1963;10315;https://www.projekt-gutenberg.org/kafka/verwandl/
das_urteil_02;fiction;1912;das_urteil_02_fiction.txt;das_urteil;1963;9854;https://www.gutenberg.org/files/21593/21593-h/21593-h.htm
das_schloss_17;fiction;1922;das_schloss_17_fiction.txt;das_schloss;1958;10380;https://www.projekt-gutenberg.org/kafka/schloss/
tagebuch_055;diary;1914;tagebuch_55_diaries.txt;tagebuecher;1932;10098;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
das_schloss_09;fiction;1922;das_schloss_09_fiction.txt;das_schloss;1931;9783;https://www.projekt-gutenberg.org/kafka/schloss/
tagebuch_016;diary;1911;tagebuch_016_diaries.txt;tagebuecher;1931;10479;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_060;diary;1914;tagebuch_60_diaries.txt;tagebuecher;1921;10439;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_064;diary;1915;tagebuch_64_diaries.txt;tagebuecher;1912;11063;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_027;diary;1911;tagebuch_027_diaries.txt;tagebuecher;1901;10380;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_009;diary;1911;tagebuch_009_diaries.txt;tagebuecher;1888;9881;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_022;diary;1911;tagebuch_022_diaries.txt;tagebuecher;1888;10345;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
der_prozess_18;fiction;1914;der_prozess_18_fiction.txt;der_prozess;1886;10060;https://www.projekt-gutenberg.org/kafka/prozess/
tagebuch_063;diary;1915;tagebuch_63_diaries.txt;tagebuecher;1886;10905;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
die_acht_oktavenhefte_08;fiction;1917;oktavenhefte_08_fiction.txt;notizen;1881;10325;https://www.projekt-gutenberg.org/kafka/oktavhef/oktavhef.html
tagebuch_041;diary;1913;tagebuch_41_diaries.txt;tagebuecher;1878;9911;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_011;diary;1911;tagebuch_011_diaries.txt;tagebuecher;1870;10183;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_021;diary;1911;tagebuch_021_diaries.txt;tagebuecher;1862;10221;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_051;diary;1914;tagebuch_51_diaries.txt;tagebuecher;1861;9892;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_084;diary;1911;tagebuch_84_diaries.txt;reisetagebuecher;1861;10650;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_023;diary;1911;tagebuch_023_diaries.txt;tagebuecher;1859;9749;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_013;diary;1911;tagebuch_013_diaries.txt;tagebuecher;1855;10070;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
das_schloss_37;fiction;1922;das_schloss_37_fiction.txt;das_schloss;1847;9531;https://www.projekt-gutenberg.org/kafka/schloss/
tagebuch_017;diary;1911;tagebuch_017_diaries.txt;tagebuecher;1847;10232;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_024;diary;1911;tagebuch_024_diaries.txt;tagebuecher;1847;10346;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_003;diary;1910;tagebuch_003_diaries.txt;tagebuecher;1845;9338;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_026;diary;1911;tagebuch_026_diaries.txt;tagebuecher;1844;10557;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_042;diary;1913;tagebuch_42_diaries.txt;tagebuecher;1837;10114;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_061;diary;1914;tagebuch_61_diaries.txt;tagebuecher;1835;10250;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_075;diary;1922;tagebuch_75_diaries.txt;tagebuecher;1832;10008;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_079;diary;1911;tagebuch_79_diaries.txt;reisetagebuecher;1830;10976;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
der_prozess_21;fiction;1914;der_prozess_21_fiction.txt;der_prozess;1829;9263;https://www.projekt-gutenberg.org/kafka/prozess/
tagebuch_043;diary;1913;tagebuch_43_diaries.txt;tagebuecher;1828;9875;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_001;diary;1910;tagebuch_001_diaries.txt;tagebuecher;1821;9398;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_007;diary;1911;tagebuch_007_diaries.txt;tagebuecher;1819;9458;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_006;diary;1911;tagebuch_006_diaries.txt;tagebuecher;1818;9732;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_077;diary;1911;tagebuch_77_diaries.txt;reisetagebuecher;1814;9848;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
amerika_38;fiction;1913;amerika_38_fiction.txt;amerika;1804;9373;https://www.projekt-gutenberg.org/kafka/amerika/
tagebuch_018;diary;1911;tagebuch_018_diaries.txt;tagebuecher;1803;9932;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_019;diary;1911;tagebuch_019_diaries.txt;tagebuecher;1803;9415;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_062;diary;1915;tagebuch_62_diaries.txt;tagebuecher;1803;10024;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_004;diary;1910;tagebuch_004_diaries.txt;tagebuecher;1802;9486;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_029;diary;1911;tagebuch_029_diaries.txt;tagebuecher;1799;10121;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_028;diary;1911;tagebuch_028_diaries.txt;tagebuecher;1795;10619;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_015;diary;1911;tagebuch_015_diaries.txt;tagebuecher;1793;10249;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_012;diary;1911;tagebuch_012_diaries.txt;tagebuecher;1789;9907;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_002;diary;1910;tagebuch_002_diaries.txt;tagebuecher;1787;9337;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_037;diary;1912;tagebuch_37_diaries.txt;tagebuecher;1786;10129;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_005;diary;1910;tagebuch_005_diaries.txt;tagebuecher;1785;9818;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_032;diary;1912;tagebuch_32_diaries.txt;tagebuecher;1785;10072;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_033;diary;1912;tagebuch_33_diaries.txt;tagebuecher;1783;9874;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_035;diary;1912;tagebuch_35_diaries.txt;tagebuecher;1783;9354;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_073;diary;1922;tagebuch_73_diaries.txt;tagebuecher;1783;9739;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_038;diary;1912;tagebuch_38_diaries.txt;tagebuecher;1782;9933;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_054;diary;1914;tagebuch_54_diaries.txt;tagebuecher;1781;9066;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_053;diary;1914;tagebuch_53_diaries.txt;tagebuecher;1778;9221;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
amerika_16;fiction;1913;amerika_16_fiction.txt;amerika;1775;9555;https://www.projekt-gutenberg.org/kafka/amerika/
tagebuch_025;diary;1911;tagebuch_025_diaries.txt;tagebuecher;1773;9732;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
die_acht_oktavenhefte_03;fiction;1917;oktavenhefte_03_fiction.txt;notizen;1768;9668;https://www.projekt-gutenberg.org/kafka/oktavhef/oktavhef.html
der_prozess_28;fiction;1914;der_prozess_28_fiction.txt;der_prozess;1763;9180;https://www.projekt-gutenberg.org/kafka/prozess/
tagebuch_083;diary;1911;tagebuch_83_diaries.txt;reisetagebuecher;1753;9897;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_078;diary;1911;tagebuch_78_diaries.txt;reisetagebuecher;1745;10825;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
die_verwandlung_01;fiction;1912;die_verwandlung_01_fiction.txt;die_verwandlung;1741;9520;https://www.projekt-gutenberg.org/kafka/verwandl/
tagebuch_056;diary;1914;tagebuch_56_diaries.txt;tagebuecher;1741;10086;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_044;diary;1913;tagebuch_44_diaries.txt;tagebuecher;1731;9298;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_010;diary;1911;tagebuch_010_diaries.txt;tagebuecher;1730;9981;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
tagebuch_036;diary;1912;tagebuch_36_diaries.txt;tagebuecher;1728;9373;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
der_riesenmaulwurf_01;fiction;1915;der_riesenmaulwurf_01_fiction.txt;magazine;1726;9833;https://www.projekt-gutenberg.org/kafka/misc/chap034.html
tagebuch_048;diary;1914;tagebuch_48_diaries.txt;tagebuecher;1720;9460;https://www.projekt-gutenberg.org/kafka/tagebuch/titlepage.html
